abort	中断	
break	ブレーク	
breakpoint	ブレークポイント	
bridge	ブリッジ	
browse	参照	
browser	ブラウザ
browsing	参照	
buffer	バッファ
bug	バグ	
bug tracking	バグ追跡
build	構築	
build	ビルド	プログラミング言語用語
build path	ビルド・パス	
builder	ビルダ	
bundle	バンドル	
business	ビジネス	
button	ボタン
by default	デフォルトで
bytecode	バイトコード
bytes	バイト	
cache	キャッシュ	
call	呼び出し	プログラミング言語用語
callback	コールバック
camel	キャメル	
camel case	キャメル・ケース	CamelCaseのように単語区切りを大文字にする記法のこと
cancel	キャンセル
capabilities	機能
capability	機能
capitalized	大/小文字混合	
caret	キャレット	
carriage return	復帰	
case	大/小文字	
case sensitive	大/小文字を区別
cast	キャスト	
catalog	カタログ	
category	カテゴリ	
caused by	原因	名詞的に訳す場合
certificate	証明書
change	変更
channel	チャンネル	
character	文字	
charset	文字セット	
cheat sheet	虎の巻
check	検査	
check	確認	
check	チェック
check configuration	チェック構成	
check out	チェック・アウト	
checker	チェッカー	
checking	チェック	名詞的に使用する場合。
checkout	チェックアウト	
child	子	
choice	選択	
choose	選択	
circular	循環	
circularity	循環性	
class	クラス	
classic	クラシック
classification	種別	
classpath	クラスパス	
clause	節	
clean	クリーン	
clean up	クリーン・アップ	
cleanup	クリーンアップ
clear	クリア
click	クリック
client	クライアント	
clipboard	クリップボード
close	閉じる
code	コード	
codec	コーデック
coding	コーディング	
collaboration	コラボレーション	
collecting	収集	名詞的に使用する場合。
collecting	収集中	進行形
collection	集まり	
collection	コレクション	プログラミング言語用語
collector	コレクタ	
collide	競合
collide	衝突
collision	衝突
colored label	色付きラベル	
column	列	
comapre	比較	
combination	組み合わせ	
comma	コンマ
command	コマンド	
commas	コンマ
comment	コメント
commenting	コメント	
commit	コミット	
communication	通信
communication	コミュニケーション
comparator	コンパレータ	
comparison	比較	
compatibility	互換性
compatibility mode	互換モード
compatible	互換
compatible	互換性
compilation	コンパイル	
compile	コンパイル	
compiler	コンパイラ	
complete	完了
complexity	複雑度	
component	コンポーネント
composite	コンポジット	
compress	圧縮	
compression	圧縮	
comprise	構成する	
computation	計算	
compute	計算	
computer	コンピュータ	
concatenate	連結	動詞
concurrent	並行	
concurrent	同時	
condition	条件	用例多い
condition	状態	用例少ない
conditional breakpoint	条件付きブレークポイント	
conditionals	条件
confidential information	機密情報	
config	構成	
config file	構成ファイル
configuration	構成	
configuration file	構成ファイル
configure	構成する	
confirm	確認
confirmation	確認	
conflict	競合
connect	接続	
connection	接続
connectivity	接続	
connector	コネクタ
consideration	考慮	
console	コンソール	
constant	定数	
constraint	制約	
construct	構成する
constructor	コンストラクタ
contact	連絡先	名詞
contain	含む	
container	コンテナ
content	コンテンツ
content type	コンテンツ・タイプ	
context	コンテキスト	
contextual	コンテキスト
continue	続行	
contribute	コントリビュート	
contribution	コントリビューション
contributor	コントリビュータ	
control	制御
control	管理
control	コントロール	
convention	規約	
convert	変換	
converter	コンバータ
copy	コピー
core	コア	
correct	正しい	形容詞
correctly	正しく	
corresponding	対応する	形容詞的に使用する場合
corrupt	破壊	
could not be read	を読み取れませんでした
count	カウント	名詞
counter	カウンタ	
coupling	結合	
covariant	共変	
create	作成
creation	作成	
credential	証明書
criteria	基準
cross	クロス	
cross reference	相互参照
curly brace	中括弧	
current	現行	
current	現在の	
currently	現在	
cursor	カーソル	
custom	カスタム	
customize	カスタマイズ
cut	切り取り
cycle	循環	JavaVM用語
cycle	サイクル	
cyclomatic	循環的	
daemon	デーモン
dangerous	危険な	
data	データ
data source	データ・ソース	
database	データベース	
database table	データベース・テーブル
dataflow	データフロー	
datalink	データリンク	
datamodel	データモデル	
datastore	データストア	
datatype	データタイプ	
date and time	日時	
de-select	選択解除	
deactivate	非アクティブにする
deadlock	デッドロック
debug	デバッグ
debugger	デバッガ	
debugging	デバッグ	
decimal	進数
decimal	固定精度小数
declaration	宣言	
declare	宣言	
declaring type	宣言型	
decompress	解凍	
decorate	装飾	
decoration	装飾	
decorator	デコレータ
default	デフォルト	
define	定義	
defined	定義	形容的に使用する場合。
definite	明らかな	
definition	定義
delay	遅延
delayed	遅延	
delegate	委譲
delete	削除
deletion	削除	
delta	デルタ	
demonstrate	示す	
dependency	依存関係
deploy	デプロイ
deprecated	非推奨	限定用法の場合。
deprecated	使用すべきではありません	叙述用法の場合。
derive	派生する
derived	派生	
descendant	下位	
descendent	下層
description	記述
description	説明
descriptor	記述子	
deselect	選択解除	
design	デザイン	
design session	デザイン・セッション	
designer	デザイナ
desired	必要な	
destination	宛先	
detach	切り離す
detail	詳細
detailed	詳細な	形容詞的に使用。
detect	検出	
detection	検出
detector	検知器
detector	ディテクタ
determine	判別
determine	決定
determine	識別
developer	開発者	
development	開発	
device	デバイス	
dialog	ダイアログ	
dictionary	辞書	
difference	差異
difference	相違
different	異なる
digest	ダイジェスト
digit	数字	
digit	桁数	
directive	ディレクティブ
director	ディレクタ	
directory	ディレクトリ	
disable	無効	動詞
disable	無効化
discard	破棄
disconnect	切断	
discouraged	推奨されません	
discover	発見
disk	ディスク	
dispatcher	ディスパッチャ	
display	表示	
displayname	表示名
distribution	ディストリビューション	
do you want to	しますか	
do you want to continue?	続行しますか?	定型表現
document	文書	
documentation	ドキュメンテーション	
domain	ドメイン	
doomed	破綻した	
dot	ドット	
double	ダブル
double quote	ダブル・クォート	
double-click	ダブルクリック
download	ダウンロード
drag and drop	ドラッグ・アンド・ドロップ	
driver	ドライバ	
duplicate	重複
duplicate	複製	
duplicated	重複した	
duration	期間
dynamic	動的	
e-mail	e-mail	訳さない
e.g.	例	
each	各	
edit	編集
editor	エディタ	
element	要素
eligible	使用できる	
embedded	埋め込み	
embedded	組み込み	
emit	出す	【例】emit warnings=警告を出す
emit	発行する	
empty	空の	
empty line	空行	
emulate	エミュレート	
enabled	有効
encapsulate	カプセル化	動詞
enclosing	エンクロージング	
encoding	エンコード
encountered	検出しました	
encountered	発生しました	【例】warning messages were encountered= 警告メッセージが発生しました
encountered	見つかりました	
encrypt	暗号化
end point	エンド・ポイント	
engine	エンジン	
engineering	エンジニアリング	
enlarge	拡大する	
enritch	リッチ化
ensure	確認	
ensure	確認する	
enter	入力	
enterprise	エンタープライズ
entity	実体	
entity	エンティティ	
entry	エントリ	
enum	列挙型	
enumerate	列挙
enumerator	列挙型
enumerator	列挙子
envelope	エンベロープ
environment	環境	
environment variable	環境変数	
equal	等しい
equality	等価	
equivalence	等価	
error	エラー
error occurred	エラーが発生しました
establish	確立	動詞
event	イベント	
exactly	正確に	
exactly	ちょうど	
example	例
example	実例
example	サンプル
exceed	超える	
exception	例外	
exclude	除外	
executable	実行可能	
executable	実行可能ファイル	
execute	実行	
execution	実行
execution plan	実行計画	
executor	実行プログラム
existing	既存
exit	終了
expand	展開
expandable	展開可能	
expanding	展開中	
experimental	実験用	
explain	説明	
explicit	明示的
explicitly	明示的に	
exploration	探索	
explorer	エクスプローラ	
export	エクスポート
export to	エクスポート先	名詞的に使われる場合
exporter	エクスポータ
expose	公開
expression	式	プログラミング言語用語
ext	拡張	
extender	エクステンダ
extensibility 	拡張性	
extensible	拡張可能	
extension	拡張	
extension	拡張子	
extension point	拡張ポイント
external	外部	
externalized	外部化された
extra	追加の	
extract	抽出
extracted type	抽出型	
facet	ファセット	
facilities	機能	
factory	ファクトリ	
failed	～に失敗しました	「～が失敗しました」ではない。【例】State validation failed.=状態の検証に失敗しました。
fall through	フォール・スルー	
fan Out	展開する	
fatal	致命的	
feature	フィーチャー
fetch	取り出し	
field	フィールド	
file	ファイル
file system	ファイル・システム	
file type	ファイル・タイプ	
filename	ファイル名
files	ファイル	
fileset	ファイルセット
fill in	入力	動詞句
filter	フィルタ	
filter string	フィルタ文字列	
filtration	フィルタ
finalizer	ファイナライザ	
fix	修正	
fix	フィックス	
fixed	固定	
flatfile	フラットファイル
flexible	柔軟な
floating point	浮動小数点
flow	フロー	
flush	フラッシュ	
focus	フォーカス	
foldable	折りたたみ可能な	
folder	フォルダ
folding	フォールディング	
following	次の
font	フォント	
for example	例えば	
for the first time	初めて	
forbid	禁止する	
force	強制
foreground	前景	
foreground color	前景色	
foreign	外部	
foreign key	外部キー	
form	フォーム	いわゆる入力フォームなど
format	書式
format	フォーマット
fragment	フラグメント	
framework	フレームワーク	
frequency	間隔	
full build	フル・ビルド	
full name	フル・ネーム
function	関数	
function call	関数呼び出し	
functional	機能	
functionality	機能	
garbage	ガーベッジ	
general	一般
generate	生成
generation	生成	
generic	汎用
generic	総称	java用語
generics	ジェネリクス	
getting started	入門	
given	指定された	
global	グローバル	
go to	ジャンプ	【例】Go To Line=指定行へジャンプ
go up	上にジャンプ	
graph	グラフ	
graphic	グラフィック	
gray	グレー
greater than or equal	以上	
grid	グリッド	
group	グループ	
group	グループ化	動詞
grouping	グループ化
guard	ガード	
handle	ハンドル	
handler	ハンドラ
handshake	ハンドシェーク	
harmless	無害	
has	ある	助動詞ではなく「もつ」という意味の動詞の場合、「ある」という訳が多い。
header	ヘッダ	
height	高さ
help	支援	動詞
help	ヘルプ	
helps you	支援する
here	ここ	
hexadecimal	16 進	
hexadecimal	16 進数	
hide	隠蔽	プログラミング言語用語
hide	非表示	
hierarchy	階層	
highlight	強調
highlight	強調表示	
history	ヒストリ	
hold	保持
holder	ホルダー	
host	ホスト	
hover	ホバー	
how to	方法	名詞的に訳す場合
hunk	ハンク
hyperlink	ハイパーリンク
i.e.	つまり	
icon	アイコン	
identification	ID	
identification	識別	
identified	識別	
identifier	識別子
ignore	無視
ignore	無視する	
illegal	不正な	
image	画像	
image	イメージ
immediate	即時	
immediate	直接の	
immediately	すぐ	
immediately	即時に	
implement	実装	
implementation	実装	
implementors	実装	
implicit	暗黙の	
import	インポート
import from	インポート元	名詞的に使われる場合
importer	インポータ
imports	インポート	
improvement	改善	
in parallel	並行して	
in progress	進行中	
in the future	今後	
in the future	将来	
inaccessible	アクセス不能
inactive	非アクティブ	
inactivity	非アクティブ	
include	内包	
include	含む	
include	インクルード	
includepath	インクルードパス	
incoming	受信	形容詞的に使用。
incompatible	非互換の
incorporate	組み込む	
incorrect	誤っている	
incorrectly	誤って
incremental	インクリメンタル	
incrementally	インクリメンタルに	
indentation	インデント	
index	インデックス	
indicate	示す	
indicator	インジケータ
indirection	間接参照	プログラミング言語用語
indirectly	間接的に	
individual	個々の	
info	情報	
information	情報	
informational	情報	
infrastructure	基盤	
inheritance	継承	
inherited type	継承型	
initial	初期
initialization	初期化	
initialize	初期化
initializer	イニシャライザ
inline	インライン	
inline	インライン化	動詞
inner	内部	
inner	インナー
input	入力	
insert	挿入
inspect	検査	動詞
instability	不安定性	
install	インストール	
installable	インストール可能
installation	インストール	
installed	インストール済みの	
instance	インスタンス	
instantiate	インスタンス化	
instantiation	インスタンス化
instead	代わりに
instead of	ではなく
instead of	代わりに
instead of	の代わりに
integer	整数	
integration	統合	
intelligent	インテリジェント	
intend	意図する	
interactive	対話式	
interface	インターフェース
intermediate	中間	
internal	内部	
internally	内部的に	
introduce	導入	
invalid	無効な
invocation	呼び出し	
invoke	実行
invoke	起動	
invoke	呼び出す
is disabled	無効
is disabled	使用不可
issue	問題	
item	項目	
iterate	繰り返す	
iterator	イテレータ	
itself	それ自身
itself	それ自体	
join	ジョイン	
keep	維持
keep	保持	
keepalive	キープアライブ	
key	鍵	セキュリティ用語
key	キー
key binding	キー・バインド
keystore	鍵ストア	
keystroke	キーストローク
keyword	キーワード	
known	既知の
label	ラベル	
language	言語
latest	最新
launch	起動	
launcher	ランチャ
layer	レイヤー	
layout	レイアウト	
leading	先頭
left	左	
legal	正しい	
length	長さ	
less than	未満	
letter	文字	
level	レベル	
lexicographic	辞書の	
library	ライブラリ	
lifecycle	ライフサイクル	
like	のように
limit	制限	
limit	限度	
limitation	制限	
line	行
line break	改行	
line feed	改行	
linebreaks	改行	
link	リンク	
linking	リンク	
list	リスト	
listed below	以下にリストされた
listener	リスナ	
listening	リスニング	
listing	リスト
literal	リテラル	
load	ロード	
loader	ローダー	
local	ローカル
locale	ロケール	
localhost	ローカルホスト	
localization	ローカライゼーション	
localized	ローカライズされた	
locate	検索	動詞
location	場所	ファイル内のどこかを示す場合が多い
location	ロケーション	ファイル・システム上を示す場合が多い
locator	ロケータ	
lock	固定
lock	ロック
locking	ロック	名詞的に使用する場合
log	ログ	
logging	ロギング
logical	論理	
login	ログイン	
lookahead	先読み
lookbehind	後読み
lookup	ルックアップ	
loop	ループ	
machine	マシン	
macro	マクロ	
magic number	マジック・ナンバー	
malformed	誤った
managed	管理	形容詞的に使用する場合。
management	管理	
manager	マネージャ	
manifest	マニフェスト	
manipulation	操作	
manually	手動で
map	マップ	
mapper	マッパー
mapping	マッピング
mark	マーク	
marker	マーカー	
markup	マークアップ
mask	マスク
match	一致
matches	一致	
matching	一致する	形容詞的に使用する場合。
matching	マッチング	動詞的に使用する場合。
max length	最大長
maximum	最大	
maxium	最大	
may not be	できません
may not be	あってはなりません
mechanism	機構
media	メディア	
member	メンバー	
memory	メモリー	
menu	メニュー	
merge	マージ	
message	メッセージ
message box	メッセージ・ボックス	
message-driven	メッセージ駆動型
messages	メッセージ	
meta	メタ	
meta data	メタ・データ	
meta-information	メタ情報	
metadata	メタデータ
method	メソッド	
method call	メソッド呼び出し
methods	メソッド	
metric	メトリック	
migrate	マイグレーション
migration	マイグレーション	
milestone	マイルストーン	
minimize	最小化
minimum	最小	
minimum length	最小長
miscellaneous	その他	
missing	ない	動詞
missing	欠落	名詞的に使用する場合。
missing	ありません	
misspelled	スペルミス	
mixed content	混合コンテンツ	
mode	モード	
model	モデル	
modeler	モデラー	
modification	変更	
modifier	修飾子	
modify	変更する
module	モジュール	
monitor	モニター	
monospace	等幅	
more specifically	より正確にいうと	
more than once	複数回	
more than one	複数の	
mouse	マウス
move	移動
ms	ミリ秒	
multi-line	複数行	
multiline	複数行
multiple	倍数	名詞
multiple	複数の	形容詞
multithreaded	マルチスレッドの	
must not be null	null にできません	
mutable	変更可能	
name	名	前の単語とつなげる場合。【例】function name=関数名
name	名前
name	名称	【例】new name=新規名称
name	名前をつける	動詞
namespace	名前空間	
naming convention	命名規約	
native	ネイティブ	
nature	ネーチャー	
navigation	ナビゲーション	
navigator	ナビゲータ	
necessary	必要な	
negative	負	
nested	ネストされた	
network	ネットワーク	
new	新規	メニュー項目など簡潔な表現が必要な場合
new name	新規名
new name	新しい名前
newline	改行
node	ノード	
non-abstract	非抽象	
non-binary	非バイナリ	
non-conflicting	非競合の
non-conflicting	競合しない
not available	使用不可	
not available	使用できません	
not exist	存在しません	
not found	見つかりません	
not valid	有効ではありません
not visible	不可視	
note	注意	
notification	通知
now	今すぐ	
number	数	
numeric	数値
object	オブジェクト	
obstructed	遮断
obtain	取得	
occurred	発生しました	
occurrence	出現箇所	
off	オフ	
offline	オフライン	
offset	オフセット
omit	省略
on startup	始動時に	
one	1 つ	
one or more	1 つ以上	
only	のみ	
open	開く
open-source	オープン・ソース	
operating system	オペレーティング・システム
operation	操作	
operation	演算	プログラミング言語用語
operator	演算子
option	オプション	
optional	オプションの
optionally	オプションで	
options	オプション	
or	～か、または	文節や文をつなぐ場合
order	順	前の単語とつなげる場合。【例】alphabetical order=アルファベット順
order	順序	
organize	編成	
orientation	向き	
original	元の
original	オリジナル
out of range	範囲外
out of sync	非同期	名詞的に訳す場合。
out of sync	同期がとれていない	
outline	アウトライン	
output	出力
output stream	出力ストリーム
overlay	オーバレイ
overridden	オーバーライドされた	
override	オーバーライド
overwrite	上書き
own	所有する	
owner	所有者
ownership	所有権	
package	パッケージ
packaging	パッケージング	
pad	パディング	「埋めるもの」という意味で使用する場合。
padding	パディング	
page	ページ	
pageflow	ページフロー
pane	ペイン	
paradigm	パラダイム	
paragraph	段落	
parameter	パラメータ	
parameterized	パラメータ化	
paren	小括弧	
parent	親	
parent type	親タイプ	
parentheses	小括弧	
parse	構文解析	
parser	パーサ
parsing	構文解析	
participant	パーティシパント	Eclipse用語
partition	パーティション	
password	パスワード	
patch	パッチ	
path	パス	
pattern	パターン	
pending	保留中	
per	別
per	あたり
per	ごとに
percentage	パーセント	
perform	実行	
performance	パフォーマンス	
permanent	永久
permanent	永続
permission	権限
permission	許可	
permission	アクセス権	ファイル・システム用語
persist	保持
persist	維持
persistence	永続化
persistent	永続
persistent	永続化
perspective	パースペクティブ	Eclipse用語
pin	ピン留め	動詞
placeholder	プレースホルダ	
placement	配置	
plain text	プレーン・テキスト	
plan	計画	
plan	プラン	
platform	プラットフォーム	
platform independent	プラットフォーム非依存
platform-independent	プラットフォーム非依存
play	再生
please note	注意してください
plug-in	プラグイン
plugin	プラグイン
point	指す	動詞
point	ポイント	
pointcut	ポイントカット
pointer	ポインタ	
pointing to	～を指す
policy	ポリシー
pool	プール	
pop-up	ポップアップ	
popup	ポップアップ	
port	ポート	
port number	ポート番号	
positive	正の	
possible	可能な
possible	可能性	【例】possible locking=ロックの可能性
possible	考えられる
post condition	事後条件	
potential	潜在的な
practice	実例	
precision	精度	
precondition	前提条件	
predefined	事前定義	
preference	設定
preferred	優先	
prefix	接頭部
preload	プリロード	
presentation	表示	
presentation	プレゼンテーション	
preview	プレビュー	
previous	前の	
previously	前回
previously	以前に
primary key	主キー
primitive	プリミティブ	
priority	優先度	
private	個人用	
privilege	権限	
problem	問題	
problem occurred	問題が発生しました	
procedural	プロシージャ	
procedure	プロシージャ	
proceed	続行
process	プロセス	
processing	処理中	
processor	プロセッサ	
profile	プロファイル
program	プログラム	
project	プロジェクト
prompt	プロンプト	
prompted	プロンプトを表示する
prompted	プロンプトが表示される
prompting	プロンプト	
properties	プロパティ
property	プロパティ
proposal	プロポーザル	
protect	保護
protection	保護
protocol	プロトコル
provide	指定
provide	提供
provider	プロバイダ
provisioner	プロビジョナー	
provisioning	プロビジョニング
proxy	プロキシ	
publish	公開	
publisher	パブリッシャ
pull up	プル・アップ	
pulldown	プルダウン	
pure	ピュア	
qualification	修飾
qualified	修飾	
qualifier	修飾子	
qualify	修飾	
quality	品質
query	照会	
query	クエリ	
queue	キュー
quick	クイック
quick assist	クイック・アシスト	
quick fix	クイック・フィックス	
quickfix	クイックフィックス
range	範囲	
ratio	率	
ratio	比率	
read	読込
read	読み取り	
read only	読み取り専用
read-only	読み取り専用
receive	受信	
receive	受け取る	
recommendation	推奨	
reconciler	リコンサイラ	
reconnect	再接続	
record	記録
record	レコード	
recording	レコーディング
redirect	リダイレクト	
redone	やり直し
redundant	冗長な
refactoring	リファクタリング
refer to	参照	
reference	参照	
reflection	リフレクション	
refresh	リフレッシュ	
refreshed	リフレッシュされる	
regexp	正規表現	
region	領域	
register	レジスタ	
registry	レジストリ
regular expression	正規表現	
reintegrate	再統合	
reject	拒否	
relate	関連
related	関連	形容詞的に使用する場合。
relational	リレーショナル	
relationship	関係	
relative	相対
release	リリース	
reliability	信頼性	
reload	再読込
reload	再ロード
relocation	リロケーション	
remap	再マップ
remote	リモート
remote file	リモート・ファイル	
removal	除去	
remove	除去
rename	名前変更
rename	名前の変更
render	レンダリング	
rendering	レンダリング	
repair	修復	
replace	置換	
report	報告	
report	レポート	名詞
reporting	レポート	
repository	リポジトリ
request	要求	
required	必要
required	必須
requirement	要件	
reserved	予約済み	
reserved word	予約語	
reset	リセット
resize	サイズ変更	
resolution	解決	
resolve	解決
resolver	リゾルバー
resource	リソース	
resources	リソース	
response	応答	
restart	再開	ジョブや処理
restart	再起動	OSなど？（用例少ない）
restart	再始動	ワークベンチなど（用例多い）
restore	復元
restrict	制限	
restriction	制限	
result	結果
result	結果	
result set	結果セット	
retrieve	取得	
return	返却
return	戻り	形容詞的に使用する場合。【例】return type=戻り型
return	リターン	
return type	戻り型
return type	戻りの型	
return value	戻り値	
reveal	表示	動詞
reverse	反転
reverse	リバース
revision	改訂	ソース・コード管理用語
revision	リビジョン	
revisions	改訂	
right	右	
role	ロール
rollover	ロールオーバー	
root	ルート	
row	行
row	行	
rule	ルール	
ruler	ルーラー	
run	実行
run	実行	
runnable	実行可能	形容詞
runnable	実行可能コード	名詞。プログラミング言語用語。
runner	ランナー	
running	実行中
runtime	ランタイム
runtime	ランタイム	
runtime environment	ランタイム環境
runtime environments	ランタイム環境
same	同じ	
sample	サンプル	
save	保存
save	保管
scalar	スカラー	
scale	スケール	
schedule	スケジュール	
schema	スキーマ	
scope	スコープ	
scrapbook	スクラップブック	
screen	画面
script	スクリプト	
scripting	スクリプティング	
scripts	スクリプト	
scroll	スクロール	
scrolling	スクロール	
search	検索
search	検索	
search result	検索結果
search results	検索結果
searched	条件付き	【例】searched CASE expression=条件付き CASE 式
sec	秒	
secondary	セカンダリー	
secure	セキュア	長音なし
secure Sockets Layer	セキュア・ソケット・レイヤー	
secured	保護された	
security	セキュリティー
see	表示
see	参照	ログなど内容の確認を示唆する場合
see log for details	詳細はログを参照してください	定型表現
segment	セグメント	
select	選択
select	選択	
selectable	選択可能	
selected	選択した	限定用法の場合。【例】selected item=選択したアイテム
selected	選択された	叙述用法の場合。【例】item is selected=アイテムが選択されました。
selection	選択	
selector	セレクタ
selector	セレクター	
semantic	セマンティック	
semantics	セマンティクス	
semicolon	セミコロン	
send	送信
send	送信	
separate	別の	
separated list	区切りリスト	【例】comma separeted list=コンマ区切りリスト
separator	セパレーター	
sequence	シーケンス	
serial	シリアル	
serializable	シリアライズ可能
serializable	シリアライズ可能
server	サーバー	
service	サービス	
services	サービス	
servlet	サーブレット
session	セッション	
sessions	セッション	
set	設定	動詞
set	セット	名詞
setting	設定
setting	設定	
setup	セットアップ
severity	重大度	
sharable	共用可能	
share	共用	
shared	共用
shell	シェル	
shell	シェル	
shift	シフト	
shortcut	ショートカット	
show	表示
show	表示	
sibling	兄弟	
signal	シグナル	
signature	署名
signature	シグニチャー
signing	署名
signout	サインアウト
similar	類似の
similarly	類似した
simple	単純	
simple	簡易	
simple	シンプル	
simplify	単純化する	
simulated	シミュレートされた	
single	単一	
single	シングル	
singleton	シングルトン	
site	サイト
size	サイズ	
skip	スキップ	
snapshot	スナップショット
snippet	スニペット
snippet	スニペット	
socket	ソケット	
software	ソフトウェア	
solution	解
solution	ソリューション
some	いくつか	
sort	ソート	
sorter	ソーター	
source	ソース	
space	スペース	
special	特殊	【例】special register=特殊レジスター
specific	固有の	
specific	特定の	
specification	仕様
specification	指定
specifier	指定子
specifiers	指定子
specify	指定	
spell	スペル	
spelling	スペル	
splash	スプラッシュ	
splash screen	スプラッシュ画面
splitting	分割	
stack	スタック	
stack trace	スタック・トレース
standalone	スタンドアローン	
standard	標準	
standard in	標準入力	
standard out	標準出力	
star	*	アスタリスク文字を表す場合
start	開始
start	開始	
start	始動	Eclipse、サーバーなど
start	始まる	
starting up	始動
starting up	始動中
startup	始動	
startup	開始	
startup	スタートアップ	
state	状態
state	状態	
stateless	ステートレス	
statement	ステートメント	
statements	ステートメント	
status	状況
status	ステータス
status	ステータス 
stderr	標準エラー
stdout	標準出力
step through	ステップ・スルー
stereotype	ステレオタイプ
stereotypes	ステレオタイプ
stop	停止
stop	停止	
storage	記憶装置	【例】persistent storage=永続記憶装置
storage	ストレージ
store	保管
store	ストア	名詞
stored procedure	ストアード・プロシージャー	
stream	ストリーム	
strict	厳密な	
strictly	厳密に	
strike-through	取り消し線	
string	文字列
string	文字列	プログラミング言語用語
string	ストリング	
strongly recommended	強くお勧め	
structure	構造	
structured	構造化	
stub	スタブ	
stubs	スタブ	
style	スタイル	
stylesheet	スタイルシート	
stylesheets	スタイルシート	
sub	サブ	
subclass	サブクラス	
subclasses	サブクラス	
subfolder	サブフォルダー	
subquery	サブクエリー	
subscript	下付き	
subsequent	後続の	
subset	サブセット	
subset	サブセット化	動詞的に使用する場合。
subsetting	サブセット	
substring	部分文字列
subsystem	サブシステム	
subtopic	サブトピック	
subtype	サブタイプ	
successful	成功	
successfully	正常に
suffix	接尾部
suffixes	接尾部
suite	スイート	
summaries	要約
summary	要約
super class	スーパー・クラス	
super type	スーパー・タイプ	
superclass	スーパークラス
superinterface	スーパーインターフェース	
superscript	上付き	
supertype	スーパータイプ	
supplied	指定	形容詞的に使用する場合。
support	サポート	
suppress	抑制	
suppression	抑制	
suspend	中断	
swap	交換
swap	スワップ	
switch	切り替え	
symbol	記号	
symbol	シンボル	
synchronize	同期化	
syntax	構文
synthetic	合成	
system	システム	
tab	タブ	
table	テーブル
table	テーブル	
tag	タグ	
tag	タグ	ソース・コード管理用語
tags	タグ	
target	ターゲット
target	ターゲット
target file	ターゲット・ファイル	
task	タスク	
task-focused	タスク・フォーカス	
team	チーム	
teletype	テレタイプ	
temp	一時	
template	テンプレート	
temporary	一時
term	語句	
terminal	ターミナル
terminate	終了	
test	テスト	
test case	テスト・ケース	
text	テキスト
text	テキスト	
text box	テキスト・ボックス	
therefore	したがって	文頭で使用される場合。
this	この	
this will	これにより	Thisそのものが主語の場合
thread	スレッド	
threshold	しきい値	
through	を通して
throw	スロー	
thrown	スローされる	
time	時間	
time limit	制限時間
time out	タイム・アウト	
timeout	タイムアウト
timeout	タイムアウト	
tip	ヒント
title	タイトル
title	タイトル	
to view	で表示
toggle	切り替え
token	トークン
tool	ツール
tool	ツール	
tool support	ツール・サポート	
